,,ccy-1,ccy-2,ccy-1,ccy-2,ccy-1,ccy-2,FXTEST Total PnL vector
date,Portfolio,market rate,market rate,1d shift,1d shift,Pnl Vector,Pnl Vector,Total PnL
11/14/2019,FXTEST,"1,1684427","0,8865641208","0,002114881286","0,002526707744","0,002471117599","0,002946082603","0,005417200202"
11/13/2019,FXTEST,"1,165976797","0,8843296781","-0,00004663907189","0,0009727626459","-0,00005449508306","0,001134218674","0,001079723591"
11/12/2019,FXTEST,"1,16603118","0,8834702712","-0,000746259955","0,006758547575","-0,0008719619964","0,007880309654","0,007008347658"
11/11/2019,FXTEST,"1,166901992","0,8775393796","0,005321073083","-0,0001362120485","0,006217368998","-0,000158820088","0,00605854891"
11/8/2019,FXTEST,"1,160725686","0,8776589273","0,00001160725685","0,001584367835","0,00001356241453","0,001847336133","0,001860898548"
11/7/2019,FXTEST,"1,160712213","0,8762705924","-0,001508925877","-0,001577287066","-0,001763093425","-0,001839080122","-0,003602173547"
11/6/2019,FXTEST,"1,162466288","0,8776549061","0,0003836138752","0,001097068633","0,0004482308319","0,00127915657","0,001727387402"
11/5/2019,FXTEST,"1,162020521","0,8766931136","0,003427960538","-0,005567001271","0,004005375465","-0,006490994311","-0,002485618847"
11/4/2019,FXTEST,"1,158050769","0,8816009874","-0,0008916990921","-0,000352640395","-0,001041899294","-0,0004111705182","-0,001453069813"
11/1/2019,FXTEST,"1,159084323","0,8819119852","-0,001645899739","-0,004277273128","-0,001923139535","-0,004987201222","-0,006910340757"
10/31/2019,FXTEST,"1,160995205","0,8857003676","0,003459765711","-0,001284265533","0,004042537987","-0,001497423813","0,002545114175"
10/30/2019,FXTEST,"1,156992283","0,8868393047","-0,003170158855","0,009755232352","-0,003704148971","0,01137437457","0,007670225602"
10/29/2019,FXTEST,"1,160671797","0,8782715616","0,001299952412","-0,001756543123","0,001518919906","-0,002048088525","-0,0005291686185"
10/28/2019,FXTEST,"1,159164938","0,8798169981","0,001506914419","-0,001671652296","0,001760743152","-0,00194910779","-0,0001883646387"
10/25/2019,FXTEST,"1,157420803","0,8812902089","0,0002546325768","0,0004406451044","0,0002975235754","0,0005137819675","0,0008113055429"
10/24/2019,FXTEST,"1,157126161","0,8809020437","-0,001411693917","-0,0008368569415","-0,001649483451","-0,0009757557763","-0,002625239228"
10/23/2019,FXTEST,"1,158761979","0,8816398501","-0,0004519171717","0,003614723385","-0,0005280393201","0,004214683595","0,003686644275"
10/22/2019,FXTEST,"1,15928588","0,8784644442","-0,00482262926","0,0006588483331","-0,005634965952","0,0007682018692","-0,004866764083"
10/21/2019,FXTEST,"1,164903779","0,8778860504","0,006057499651","-0,001492406286","0,007077841244","-0,001740111101","0,005337730143"
10/18/2019,FXTEST,"1,157889862","0,8791981713","0,002431568709","-0,004527870582","0,002841148707","-0,005279392039","-0,002438243332"
10/17/2019,FXTEST,"1,155081202","0,8831971738","-0,002887703006","0,003974387282","-0,003374115495","0,004634043353","0,001259927858"
10/16/2019,FXTEST,"1,158426394","0,8797009017","0,0005097076132","-0,001847371894","0,0005955641395","-0,002153992763","-0,001558428624"
10/15/2019,FXTEST,"1,157836236","0,8813290442","0,01419507225","-0,004318512317","0,01658612854","-0,005035285159","0,01155084338"
10/14/2019,FXTEST,"1,141630705","0,8851515822","-0,006233303651","0,003452091171","-0,007283258145","0,004025058206","-0,003258199939"
